path	lba	size	sha1
SDAIF_C0.AIF	104057	172836	7c2a4a5025382db48462c213c3d54b57c370efbe
SDAIF_C1.AIF	104142	3632262	f3567bb94d228707b959f1f1f4a70e23d90c5cfe
SDAIF_C2.AIF	105916	382020	d5d3d152c88586302ed2089823095c4a19bbdc86
SDAIF_C3.AIF	106103	5526416	fffab942c9ef7b30ce6ea5a14d720261371f551e
SDAIF_C4.AIF	108802	3808664	2f4709eaff53d9762ab46a03a8e75d849d4dcd76
SDAIF_C5.AIF	110662	4209044	7d1e31f2733a8773bf44dabd91d2d6a1bc51f042
SDAIF_C6.AIF	112718	1021364	2daf5c0136b0271f566967838edce07ec50fdffa
SDAIF_C7.AIF	113217	5918656	1fe8a55af18b728394d71d8ed020f2f6cc342572
SDAIF_C8.AIF	116107	7444698	07e1a314ada42fe9faf0fba3096e7e60e93b38f4
SDAIF_C9.AIF	119743	4754548	9cbb956d5d44fdd33150103fcf491bbaa89d663f
SDAIF_D0.AIF	122065	9942396	96cf5dffcdd4e0336007f554af9aad55b34b1b5d
SDAIF_D1.AIF	126920	189104	5842edc2e2344b716502508226f115a95fdeb736
SDAIF_D2.AIF	127013	186484	7b76ce19f67ad51c15ce06f6640077d246e5d6ac
SDAIF_D3.AIF	127105	48808	94a1d4ac85d74c4bfd0d98ea2e770214a15ad072
SDAIF_D4.AIF	127129	4762628	68bef390cdb13db6e8a472302c8b8204ab734d9d
SDAIF_D5.AIF	129455	3920350	3488c87bbd78e6ba752b647cf8d67dcf3bdf66e0
SDAIF_D6.AIF	131370	461536	d8851887279fee78a8405fa730dda5360786441a
SDAIF_D7.AIF	131596	217324	e076f34e13d8ebaee8b82af71f6b7e4f5ef55dd4
SDAIF_D8.AIF	131703	881308	c828c786324e2361a6ebf8818506e1406ebb51be
SDAIF_D9.AIF	132134	2203316	61ccec56e42cd0254c401e59a26e657817f28784
SDAIF_E0.AIF	133210	18154436	c6364b019d0ccc76ea7dd55aff40a44ef3027aef
SDAIF_E1.AIF	142075	25480056	b4c8529ef7c3356b21b2df47957b6b7c0b22d6c0
SDAIF_E2.AIF	154517	15727396	bed12302c567a714568392fbefbe5a5ca177508d
SDAIF_E3.AIF	162197	601532	f6f50c86fde2b327e5feecd4e8138cb5d7d16d9f
SDAIF_E4.AIF	162491	547424	f296fd7ae7d767028e6524fe95fbb084be70056c
SDAIF_E5.AIF	162759	17178928	433badac6c458c07360d0c745d245a1b095df94c
SDAIF_E6.AIF	171148	4449660	722d4b306102c3743688beeacacec0b5b601cbc1
SDAIF_E7.AIF	173321	322420	f9b4bce4f531ceefac00b8089f815c0b564f2e82
SDAIF_E8.AIF	173479	457724	60f8596c94a64128edac6cb5a58d2ba4ba916e2a
SDAIF_E9.AIF	173703	199548	d1b30b43b404aaf437fa17c65bcf4461129653b0
SDAIF_F0.AIF	173801	501776	88a3a3a05582031f3a529f558122b01074a669bd
SDAIF_F1.AIF	174047	9161318	d2b376dbb4ca6fd0984ea96126df1250051a277b
SDAIF_F2.AIF	178521	10113334	ac5f4ad07499a11d72837f6d8586b37418f48379
SDAIF_F3.AIF	183460	6336260	06bdeb0b39c2f98c76e0f471806d9d1e38268324
SDAIF_F4.AIF	186554	11421248	27c50848fecd38f8a33143c6bccfc5752f343b3d
SDAIF_F5.AIF	192131	567572	34892caecacee19e89655f0c137588a060ba06e9
SDAIF_F6.AIF	192409	244180	38de82429e403f0f12df2fe14903314ab4d37e97
SDAIF_F7.AIF	192529	504452	43a518ae682518430904d60f0748772b7fcf188c
SDAIF_F8.AIF	192776	431360	78489ecd2b645fc3917535fc20d03c6d79670fa1
SDAIF_F9.AIF	192987	388016	6ee80d743be6c7accaa51cc23636d376db35fd85
SDAIF_G0.AIF	193177	431360	0b4f23d79847248a0544075a17a26905c892ad41
SDAIF_G1.AIF	193388	388020	54872538140cb4531a698c3f9bcc2dc93b9315c8
